invoice_id,record_id,shipper_name,buyer_name,destination_city,volume_barrels,price_per_barrel_cad,total_value_cad,transport_mode,pipeline_tariff_per_bbl,invoice_date,payment_terms,wcs_discount_usd
TI00201,PR0116,Husky Energy,HollyFrontier,Sarnia,3301,60.9,201030.9,pipeline,2.61,2025-04-14,NET45,20.3
TI00202,PR0062,Canadian Natural Resources,Suncor Commerce City,Montreal,44970,75.03,3374099.1,pipeline,2.93,2025-06-13,NET30,19.1
TI00203,PR0173,Baytex Energy,Marathon Petroleum,Chicago,18986,82.12,1559130.32,rail,3.21,2025-08-23,PREPAID,18.2
TI00204,PR0079,Suncor Energy,Phillips 66,Detroit,19007,83.17,1580812.19,truck,11.89,2025-04-05,NET45,20.96
TI00205,PR0025,Canadian Natural Resources,Marathon Petroleum,Chicago,18077,61.72,1115712.44,pipeline,10.49,2025-09-10,NET45,9.86
TI00206,PR0005,Imperial Oil,Irving Oil,Wood River,24931,64.85,1616775.35,pipeline,9.71,2025-06-09,NET60,11.19
TI00207,PR0009,Athabasca Oil,Marathon Petroleum,Wood River,11235,81.29,913293.15,truck,5.31,2025-10-24,PREPAID,21.84
TI00208,PR0090,Athabasca Oil,US Gulf Refinery Corp,Montreal,23488,70.53,1656608.64,rail,5.65,2025-06-21,NET60,17.69
TI00209,PR0162,Pengrowth Energy,Irving Oil,Detroit,34728,79.93,2775809.04,pipeline,4.47,2025-01-01,NET60,13.48
TI00210,PR0173,Pengrowth Energy,Marathon Petroleum,Wood River,38207,83.45,3188374.15,pipeline,11.96,2025-12-08,NET60,17.0
TI00211,PR0004,Husky Energy,PBF Energy,Wood River,29566,54.67,1616373.22,truck,11.69,2025-04-06,PREPAID,20.45
TI00212,PR0180,Husky Energy,Valero Energy,Saint John,2354,68.34,160872.36,rail,10.6,2025-02-18,NET30,8.47
TI00213,PR0004,Canadian Natural Resources,Irving Oil,Detroit,37060,60.67,2248430.2,pipeline,4.57,2025-08-11,NET30,8.87
TI00214,PR0003,Baytex Energy,Suncor Commerce City,Saint John,21978,48.67,1069669.26,rail,9.53,2025-08-12,NET30,17.43
TI00215,PR0092,Baytex Energy,Valero Energy,Sarnia,42709,63.62,2717146.58,pipeline,3.43,2025-07-01,NET60,15.45
TI00216,PR0112,Whitecap Resources,US Gulf Refinery Corp,Montreal,24514,49.35,1209765.9,pipeline,3.39,2025-01-05,PREPAID,19.52
TI00217,PR0049,Athabasca Oil,Suncor Commerce City,Sarnia,37156,62.43,2319649.08,pipeline,6.79,2025-10-16,PREPAID,20.94
TI00218,PR0131,Imperial Oil,US Gulf Refinery Corp,Saint John,18388,61.31,1127368.28,truck,8.62,2025-11-04,NET60,21.3
TI00219,PR0183,MEG Energy,Midwest Refining LLC,Cushing,45365,64.88,2943281.2,truck,8.21,2025-03-13,NET30,10.46
TI00220,PR0071,Pengrowth Energy,Calumet Specialty,Sarnia,7859,81.51,640587.09,truck,2.96,2025-11-05,NET45,14.37
TI00221,PR0072,Whitecap Resources,Irving Oil,Philadelphia,23691,68.66,1626624.06,pipeline,8.72,2025-08-22,NET30,19.03
TI00222,PR0077,Athabasca Oil,HollyFrontier,Houston,6024,76.52,460956.48,rail,4.72,2025-02-09,NET60,14.42
TI00223,PR0065,Athabasca Oil,PBF Energy,Detroit,33597,63.03,2117618.91,truck,8.55,2025-01-16,NET60,8.98
TI00224,PR0070,Cenovus Energy,Marathon Petroleum,Cushing,35801,80.28,2874104.28,pipeline,8.89,2025-11-17,NET45,21.75
TI00225,PR0117,Whitecap Resources,Irving Oil,Detroit,40282,63.21,2546225.22,truck,3.86,2025-04-22,NET60,19.98
TI00226,PR0070,Pengrowth Energy,Calumet Specialty,Sarnia,18689,46.94,877261.66,truck,2.65,2025-04-06,PREPAID,8.65
TI00227,PR0164,Cenovus Energy,Marathon Petroleum,Toledo,34280,60.95,2089366.0,rail,8.71,2025-12-18,NET45,15.95
TI00228,PR0166,Whitecap Resources,Phillips 66,Cushing,5313,68.78,365428.14,pipeline,3.38,2025-02-20,NET60,13.45
TI00229,PR0090,Whitecap Resources,Midwest Refining LLC,Detroit,17838,47.53,847840.14,rail,4.51,2025-10-16,NET60,18.5
TI00230,PR0096,Suncor Energy,Calumet Specialty,Philadelphia,22812,72.13,1645429.56,pipeline,6.31,2025-09-27,PREPAID,10.87
TI00231,PR0113,Suncor Energy,Marathon Petroleum,Sarnia,7394,57.7,426633.8,pipeline,4.11,2025-03-06,NET45,21.21
TI00232,PR0062,Whitecap Resources,Marathon Petroleum,Cushing,31946,74.26,2372309.96,truck,8.96,2025-11-15,NET30,17.23
TI00233,PR0029,Imperial Oil,Midwest Refining LLC,Cushing,34727,62.89,2183981.03,rail,4.84,2025-04-20,NET30,18.85
TI00234,PR0192,Imperial Oil,Irving Oil,Sarnia,43346,67.15,2910683.9,truck,3.5,2025-01-08,NET30,18.99
TI00235,PR0134,Husky Energy,HollyFrontier,Wood River,39910,58.0,2314780.0,pipeline,2.77,2025-03-17,NET60,12.71
TI00236,PR0081,Cenovus Energy,HollyFrontier,Cushing,8363,50.8,424840.4,pipeline,8.3,2025-08-05,NET30,9.03
TI00237,PR0156,Whitecap Resources,PBF Energy,Toledo,23921,57.6,1377849.6,pipeline,5.16,2025-01-23,NET60,11.49
TI00238,PR0173,Canadian Natural Resources,PBF Energy,Detroit,37304,82.23,3067507.92,pipeline,4.08,2025-02-20,NET45,12.74
TI00239,PR0079,Husky Energy,Suncor Commerce City,Toledo,31299,57.28,1792806.72,truck,3.14,2025-01-19,NET30,16.31
TI00240,PR0167,Athabasca Oil,Calumet Specialty,Saint John,30017,54.11,1624219.87,truck,8.98,2025-06-16,PREPAID,14.0
TI00241,PR0072,Whitecap Resources,HollyFrontier,Toledo,40893,84.31,3447688.83,pipeline,6.21,2025-06-09,PREPAID,13.46
TI00242,PR0172,Whitecap Resources,Midwest Refining LLC,Houston,20886,53.57,1118863.02,truck,6.32,2025-11-24,NET30,11.45
TI00243,PR0024,Baytex Energy,PBF Energy,Sarnia,36401,49.45,1800029.45,truck,9.99,2025-05-04,PREPAID,15.74
TI00244,PR0164,Canadian Natural Resources,HollyFrontier,Chicago,24432,76.65,1872712.8,pipeline,6.5,2025-04-18,NET60,14.46
TI00245,PR0176,Athabasca Oil,PBF Energy,Saint John,29169,47.87,1396320.03,rail,5.65,2025-08-24,NET30,8.61
TI00246,PR0179,Whitecap Resources,Midwest Refining LLC,Saint John,36163,67.38,2436662.94,truck,4.77,2025-09-19,NET30,11.79
TI00247,PR0093,Whitecap Resources,Irving Oil,Houston,28328,72.95,2066527.6,pipeline,10.57,2025-05-24,NET45,16.55
TI00248,PR0081,Whitecap Resources,HollyFrontier,Sarnia,32815,47.55,1560353.25,pipeline,6.02,2025-09-19,PREPAID,15.85
TI00249,PR0105,Suncor Energy,PBF Energy,Saint John,41036,70.68,2900424.48,pipeline,8.15,2025-03-27,NET45,16.41
TI00250,PR0116,Imperial Oil,Irving Oil,Houston,38900,55.02,2140278.0,pipeline,6.11,2025-02-10,NET30,14.35
TI00251,PR0073,Imperial Oil,Valero Energy,Philadelphia,27670,59.54,1647471.8,rail,9.0,2025-10-12,NET45,12.55
TI00252,PR0086,Suncor Energy,Suncor Commerce City,Sarnia,47706,56.82,2710654.92,pipeline,5.12,2025-07-11,NET45,10.22
TI00253,PR0153,Baytex Energy,Suncor Commerce City,Wood River,27674,78.54,2173515.96,pipeline,8.33,2025-06-01,NET45,10.29
TI00254,PR0063,Suncor Energy,HollyFrontier,Saint John,32462,45.77,1485785.74,pipeline,11.77,2025-07-20,NET60,9.25
TI00255,PR0095,MEG Energy,HollyFrontier,Toledo,11645,46.37,539978.65,pipeline,6.54,2025-03-12,NET45,10.16
TI00256,PR0188,Whitecap Resources,Marathon Petroleum,Montreal,8310,60.56,503253.6,truck,9.21,2025-11-28,NET30,19.05
TI00257,PR0018,Pengrowth Energy,PBF Energy,Houston,25942,83.51,2166416.42,rail,7.59,2025-09-23,NET60,15.29
TI00258,PR0143,Husky Energy,Valero Energy,Cushing,17370,63.19,1097610.3,pipeline,10.69,2025-10-01,NET60,16.45
TI00259,PR0082,Husky Energy,HollyFrontier,Detroit,25463,66.5,1693289.5,pipeline,2.05,2025-04-23,NET30,17.59
TI00260,PR0048,Canadian Natural Resources,Calumet Specialty,Philadelphia,48419,81.47,3944695.93,pipeline,2.69,2025-06-12,PREPAID,14.73
TI00261,PR0087,Baytex Energy,Calumet Specialty,Houston,37697,52.57,1981731.29,rail,8.64,2025-05-17,NET60,9.04
TI00262,PR0184,Whitecap Resources,Valero Energy,Sarnia,5452,66.17,360758.84,pipeline,7.31,2025-12-13,PREPAID,14.59
TI00263,PR0151,Suncor Energy,Valero Energy,Sarnia,36911,58.16,2146743.76,truck,5.39,2025-05-27,NET30,9.44
TI00264,PR0115,MEG Energy,Suncor Commerce City,Detroit,44541,54.65,2434165.65,rail,9.61,2025-02-13,NET45,19.66
TI00265,PR0179,Whitecap Resources,HollyFrontier,Wood River,48803,69.61,3397176.83,truck,8.91,2025-01-10,NET45,18.3
TI00266,PR0109,Canadian Natural Resources,US Gulf Refinery Corp,Wood River,13528,67.48,912869.44,pipeline,11.55,2025-02-17,NET30,11.19
TI00267,PR0022,Imperial Oil,Calumet Specialty,Saint John,40142,59.73,2397681.66,pipeline,7.73,2025-04-23,PREPAID,10.97
TI00268,PR0070,Athabasca Oil,Phillips 66,Chicago,29451,50.61,1490515.11,pipeline,4.92,2025-12-18,PREPAID,13.88
TI00269,PR0130,Canadian Natural Resources,US Gulf Refinery Corp,Philadelphia,7156,59.69,427141.64,truck,3.36,2025-05-10,PREPAID,12.88
TI00270,PR0129,Imperial Oil,Midwest Refining LLC,Wood River,46057,82.79,3813059.03,pipeline,9.13,2025-12-21,NET30,14.79
TI00271,PR0098,Baytex Energy,HollyFrontier,Detroit,39503,72.64,2869497.92,pipeline,11.62,2025-06-10,NET30,14.1
TI00272,PR0091,Canadian Natural Resources,Phillips 66,Toledo,32185,47.94,1542948.9,rail,7.78,2025-12-25,NET30,10.96
TI00273,PR0123,Baytex Energy,Phillips 66,Cushing,2549,71.21,181514.29,rail,11.17,2025-07-27,PREPAID,9.44
TI00274,PR0078,Pengrowth Energy,PBF Energy,Houston,22389,45.04,1008400.56,pipeline,11.15,2025-01-25,NET60,9.13
TI00275,PR0148,Baytex Energy,HollyFrontier,Toledo,33916,49.14,1666632.24,pipeline,8.86,2025-05-22,NET30,16.54
TI00276,PR0084,Athabasca Oil,HollyFrontier,Philadelphia,25533,52.17,1332056.61,pipeline,10.53,2025-09-03,PREPAID,14.7
TI00277,PR0152,Cenovus Energy,US Gulf Refinery Corp,Sarnia,18022,70.74,1274876.28,rail,5.66,2025-02-25,PREPAID,19.13
TI00278,PR0061,Whitecap Resources,Marathon Petroleum,Houston,47491,66.5,3158151.5,pipeline,11.28,2025-12-25,NET45,15.59
TI00279,PR0183,Baytex Energy,Phillips 66,Toledo,1193,56.35,67225.55,rail,8.68,2025-07-12,NET30,11.75
TI00280,PR0143,MEG Energy,PBF Energy,Saint John,38036,49.1,1867567.6,truck,10.02,2025-09-07,NET30,20.48
TI00281,PR0010,Imperial Oil,Suncor Commerce City,Cushing,1876,53.87,101060.12,pipeline,11.67,2025-09-18,NET45,20.96
TI00282,PR0176,Athabasca Oil,HollyFrontier,Detroit,48620,78.49,3816183.8,pipeline,5.87,2025-12-13,PREPAID,18.98
TI00283,PR0088,Cenovus Energy,Suncor Commerce City,Montreal,23884,60.88,1454057.92,truck,6.14,2025-07-20,NET30,13.81
TI00284,PR0170,Baytex Energy,US Gulf Refinery Corp,Philadelphia,23848,63.82,1521979.36,rail,5.31,2025-06-17,NET45,20.09
TI00285,PR0147,Pengrowth Energy,Irving Oil,Montreal,29403,81.07,2383701.21,pipeline,10.6,2025-02-13,NET60,10.04
TI00286,PR0051,Cenovus Energy,Midwest Refining LLC,Montreal,29421,75.65,2225698.65,rail,5.64,2025-06-07,NET45,17.42
TI00287,PR0096,Canadian Natural Resources,Midwest Refining LLC,Philadelphia,44734,49.28,2204491.52,truck,4.58,2025-11-17,NET30,9.66
TI00288,PR0009,Whitecap Resources,HollyFrontier,Chicago,16350,47.67,779404.5,pipeline,7.11,2025-06-21,PREPAID,12.92
TI00289,PR0113,Whitecap Resources,US Gulf Refinery Corp,Philadelphia,38995,74.13,2890699.35,pipeline,6.26,2025-02-13,NET30,19.14
TI00290,PR0174,Imperial Oil,Midwest Refining LLC,Saint John,23156,53.57,1240466.92,truck,6.13,2025-11-13,NET30,10.98
TI00291,PR0190,Cenovus Energy,US Gulf Refinery Corp,Cushing,38352,46.63,1788353.76,pipeline,10.69,2025-11-10,NET45,13.67
TI00292,PR0099,Athabasca Oil,Marathon Petroleum,Wood River,48991,58.66,2873812.06,rail,8.9,2025-08-03,NET45,19.24
TI00293,PR0086,Cenovus Energy,Midwest Refining LLC,Sarnia,30350,65.33,1982765.5,truck,9.24,2025-10-18,NET45,12.29
TI00294,PR0093,Husky Energy,Marathon Petroleum,Detroit,42000,70.38,2955960.0,rail,2.72,2025-11-10,NET30,8.3
TI00295,PR0135,Cenovus Energy,Suncor Commerce City,Cushing,6756,62.0,418872.0,pipeline,5.04,2025-03-17,NET45,10.86
TI00296,PR0142,Athabasca Oil,Valero Energy,Chicago,47138,70.78,3336427.64,pipeline,9.97,2025-11-03,PREPAID,12.78
TI00297,PR0060,Suncor Energy,Midwest Refining LLC,Montreal,20428,73.58,1503092.24,truck,11.01,2025-02-26,NET45,9.77
TI00298,PR0043,Suncor Energy,HollyFrontier,Montreal,36798,77.66,2857732.68,truck,4.4,2025-10-06,NET45,21.87
TI00299,PR0071,Imperial Oil,Calumet Specialty,Sarnia,14667,65.49,960541.83,pipeline,7.91,2025-10-19,NET30,9.84
TI00300,PR0001,Pengrowth Energy,Marathon Petroleum,Montreal,8754,67.83,593783.82,rail,9.27,2025-02-19,NET45,11.36
